molecule_chembl_id,canonical_smiles,compound_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL600263,CN1CCCC1CCc1c[nH]c2ccc(C#N)cc12,active,253.34900000000002,3.0663800000000014,1.0,2.0,8.09151498112135
CHEMBL609908,CN1CCc2ccccc2C1CCc1c[nH]c2ccc(C#N)cc12,active,315.42,4.201380000000003,1.0,2.0,8.958607314841775
CHEMBL609908,CN1CCc2ccccc2C1CCc1c[nH]c2ccc(C#N)cc12,active,315.42,4.201380000000003,1.0,2.0,8.3767507096021
CHEMBL609908,CN1CCc2ccccc2C1CCc1c[nH]c2ccc(C#N)cc12,active,315.42,4.201380000000003,1.0,2.0,9.3767507096021
CHEMBL598042,CN1CCc2ccccc2C1CCc1c[nH]c2ccc(F)cc12,active,308.4,4.468800000000003,1.0,1.0,8.244125144327509
CHEMBL597031,COc1ccc2[nH]cc(CCC3c4ccccc4CCN3C)c2c1,active,320.43600000000004,4.338300000000003,1.0,2.0,6.920818753952375
CHEMBL180630,CN(C)CCCc1c[nH]c2ccc(C#N)cc12,active,227.311,2.53378,1.0,2.0,8.698970004336019
CHEMBL196468,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12,active,239.32199999999997,2.7046800000000006,1.0,2.0,9.443697499232712
CHEMBL234706,CN(C)[C@H]1CC=C(c2c[nH]c3ccc(C#N)cc23)CC1,active,265.36,3.5370800000000022,1.0,2.0,9.142667503568731
CHEMBL552167,CN(C)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,active,267.37600000000003,3.484880000000002,1.0,2.0,9.886056647693163
CHEMBL566886,CCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,inactive,253.773,3.6894000000000027,1.0,2.0,4.795880017344075
CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,active,239.746,3.2993000000000023,1.0,2.0,7.0
CHEMBL576063,CC(NC(C)(C)C)C(=O)c1cccc(F)c1,active,223.291,2.785000000000001,1.0,2.0,7.0
CHEMBL565396,CC(NC(C)(C)C)C(=O)c1cccc(Br)c1,active,284.197,3.408400000000002,1.0,2.0,7.0
CHEMBL566832,Cc1cccc(C(=O)C(C)NC(C)(C)C)c1,active,219.328,2.954320000000001,1.0,2.0,7.0
CHEMBL603620,COc1cccc(C(=O)C(C)NC(C)(C)C)c1,active,235.327,2.6545000000000005,1.0,3.0,7.0
CHEMBL598026,CC(NC(C)(C)C)C(=O)c1cccc([N+](=O)[O-])c1,active,250.298,2.554100000000001,1.0,4.0,7.0
CHEMBL566207,Cc1ccc(C(=O)C(C)NC(C)(C)C)cc1,active,219.328,2.954320000000001,1.0,2.0,7.0
CHEMBL578610,CC(NC(C)(C)C)C(=O)c1ccc(F)c(F)c1,active,241.28099999999998,2.924100000000001,1.0,2.0,7.0
CHEMBL565844,Cc1ccc(C(=O)C(C)NC(C)(C)C)cc1Cl,active,253.773,3.6077200000000023,1.0,2.0,7.0
CHEMBL565845,Cc1cc(C(=O)C(C)NC(C)(C)C)ccc1Br,active,298.224,3.716820000000003,1.0,2.0,7.0
CHEMBL578611,CC(NC(C)(C)C)C(=O)c1cc(Cl)cc(Cl)c1,active,274.19100000000003,3.9527000000000028,1.0,2.0,7.0
CHEMBL569465,CCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,active,267.79999999999995,4.079500000000003,1.0,2.0,7.0
CHEMBL605501,CC(NC1CCCC1)C(=O)c1cccc(F)c1,active,235.30200000000002,2.929100000000001,1.0,2.0,7.0
CHEMBL566618,CC(NC1CCCC1)C(=O)c1cccc(Cl)c1,active,251.75700000000003,3.4434000000000022,1.0,2.0,7.0
CHEMBL599846,CC(NC1CCCC1)C(=O)c1cccc(Br)c1,active,296.208,3.552500000000002,1.0,2.0,7.0
CHEMBL592854,Cc1cccc(C(=O)C(C)NC2CCCC2)c1,active,231.33899999999997,3.0984200000000017,1.0,2.0,7.0
CHEMBL596775,CC(NC1CCCC1)C(=O)c1cccc([N+](=O)[O-])c1,active,262.309,2.698200000000001,1.0,4.0,7.0
CHEMBL578612,CC(C(=O)c1cccc(Cl)c1)N(C)C(C)(C)C,active,253.77299999999997,3.6415000000000024,0.0,2.0,7.0
CHEMBL566830,CC(C(=O)c1cccc(Cl)c1)N(C)C,active,211.69199999999998,2.4728000000000003,0.0,2.0,7.0
CHEMBL599028,CC(C(=O)c1cccc(F)c1)N1CCCCC1,active,235.3019999999999,2.8828000000000014,0.0,2.0,7.0
CHEMBL599230,CC(C(=O)c1cccc(Br)c1)N1CCCCC1,active,296.2080000000001,3.5062000000000024,0.0,2.0,7.0
CHEMBL589494,Cc1cccc(C(=O)C(C)N2CCCCC2)c1,active,231.33899999999994,3.0521200000000013,0.0,2.0,7.0
